ID,cluster,wealth
BJ2012_1,1,"-0,86756408214569"
BJ2012_2,2,"0,42949104309082"
BJ2012_3,3,"-0,68238317966461"
BJ2012_4,4,"-0,51214045286179"
BJ2012_5,5,"-0,44372349977493"
BJ2012_6,6,"-0,76790785789490"
BJ2012_7,7,"-0,91988748311997"
BJ2012_8,8,"-0,97018551826477"
BJ2012_9,9,"-0,72033458948135"
BJ2012_10,10,"-0,93504410982132"
BJ2012_11,11,"-0,99655330181122"
BJ2012_12,12,"0,29949998855591"
BJ2012_13,13,"-1,14505124092102"
BJ2012_14,14,"-0,32731291651726"
BJ2012_15,15,"-0,92775666713715"
BJ2012_16,16,"-0,52881956100464"
BJ2012_17,17,"-0,65107172727585"
BJ2012_18,18,"-0,66531002521515"
BJ2012_19,19,"0,78864169120789"
BJ2012_20,20,"-0,37836834788322"
BJ2012_21,21,"-0,72825258970261"
BJ2012_22,22,"-0,76847541332245"
BJ2012_23,23,"-0,74917954206467"
BJ2012_24,24,"-0,34754738211632"
BJ2012_25,25,"-0,47574955224991"
BJ2012_26,26,"-0,71244585514069"
BJ2012_27,27,"-1,09084725379944"
BJ2012_28,28,"-0,97162914276123"
BJ2012_29,29,"-1,09170126914978"
BJ2012_30,30,"-0,79929918050766"
BJ2012_31,31,"-0,34950694441795"
BJ2012_32,32,"0,15260000526905"
BJ2012_33,33,"0,71316611766815"
BJ2012_34,34,"-1,24376618862152"
BJ2012_35,35,"-0,58412915468216"
BJ2012_36,36,"-0,63927209377289"
BJ2012_37,37,"-1,01718819141388"
BJ2012_38,38,"-0,86390906572342"
BJ2012_39,39,"-0,63373637199402"
BJ2012_40,40,"-0,65101736783981"
BJ2012_41,41,"-0,11700870096684"
BJ2012_42,42,"-0,72361499071121"
BJ2012_43,43,"-0,62435626983643"
BJ2012_44,44,"-0,38549375534058"
BJ2012_45,45,"-1,07786870002747"
BJ2012_46,46,"-0,95327377319336"
BJ2012_47,47,"-1,07696580886841"
BJ2012_48,48,"-1,03637707233429"
BJ2012_49,49,"-1,02494704723358"
BJ2012_50,50,"-1,08830583095551"
BJ2012_51,51,"-1,05614387989044"
BJ2012_52,52,"-0,91468292474747"
BJ2012_53,53,"-1,22477579116821"
BJ2012_54,54,"-0,88145166635513"
BJ2012_55,55,"-0,97718089818955"
BJ2012_56,56,"-1,04541122913361"
BJ2012_57,57,"-0,95125389099121"
BJ2012_58,58,"-0,09998500347137"
BJ2012_59,59,"0,38982415199280"
BJ2012_60,60,"-0,66235792636871"
BJ2012_61,61,"-0,74560695886612"
BJ2012_62,62,"0,02232749760151"
BJ2012_63,63,"-0,48251083493233"
BJ2012_64,64,"-0,73542124032974"
BJ2012_65,65,"-0,72707915306091"
BJ2012_66,66,"-0,65653419494629"
BJ2012_67,67,"-0,37866625189781"
BJ2012_68,68,"-0,59073394536972"
BJ2012_69,69,"-1,04504120349884"
BJ2012_70,70,"0,03634833171964"
BJ2012_71,71,"-0,75964707136154"
BJ2012_72,72,"-0,84538793563843"
BJ2012_73,73,"-0,83742916584015"
BJ2012_74,74,"-0,90091544389725"
BJ2012_75,75,"-0,81200164556503"
BJ2012_76,76,"-0,78548955917358"
BJ2012_77,77,"0,45596584677696"
BJ2012_78,78,"0,17634375393391"
BJ2012_79,79,"1,69841563701630"
BJ2012_80,80,"-0,94435709714890"
BJ2012_81,81,"-1,09471631050110"
BJ2012_82,82,"-0,57199960947037"
BJ2012_83,83,"-1,03461742401123"
BJ2012_84,84,"-1,02941000461578"
BJ2012_85,85,"-0,73918479681015"
BJ2012_86,86,"-0,83682262897492"
BJ2012_87,87,"-0,03772125393152"
BJ2012_88,88,"-0,46096408367157"
BJ2012_89,89,"-0,83402824401856"
BJ2012_90,90,"-0,58505082130432"
BJ2012_91,91,"-0,50527042150497"
BJ2012_92,92,"0,60774999856949"
BJ2012_93,93,"0,69667375087738"
BJ2012_94,94,"-1,16664874553680"
BJ2012_95,95,"-0,67356956005096"
BJ2012_96,96,"-1,01253330707550"
BJ2012_97,97,"-0,97428500652313"
BJ2012_98,98,"-1,07114171981812"
BJ2012_99,99,"-1,22798502445221"
BJ2012_100,100,"-1,00940775871277"
BJ2012_101,101,"-1,01151263713837"
BJ2012_102,102,"1,09689843654633"
BJ2012_103,103,"1,49917244911194"
BJ2012_104,104,"1,39302229881287"
BJ2012_105,105,"0,75556087493897"
BJ2012_106,106,"1,28101730346680"
BJ2012_107,107,"1,32320451736450"
BJ2012_108,108,"1,28497338294983"
BJ2012_109,109,"1,39064276218414"
BJ2012_110,110,"1,16365146636963"
BJ2012_111,111,"1,51229953765869"
BJ2012_112,112,"1,45328474044800"
BJ2012_113,113,"1,62100434303284"
BJ2012_114,114,"1,28861868381500"
BJ2012_115,115,"1,42419052124023"
BJ2012_116,116,"-0,25324416160584"
BJ2012_117,117,"1,77038621902466"
BJ2012_118,118,"1,70861721038818"
BJ2012_119,119,"1,22048187255859"
BJ2012_120,120,"1,79906725883484"
BJ2012_121,121,"1,52299678325653"
BJ2012_122,122,"0,09730699658394"
BJ2012_123,123,"-0,21105857193470"
BJ2012_124,124,"-0,17872250080109"
BJ2012_125,125,"1,10585296154022"
BJ2012_126,126,"-0,49713334441185"
BJ2012_127,127,"0,35937333106995"
BJ2012_128,128,"1,11310386657715"
BJ2012_129,129,"0,12814417481422"
BJ2012_130,130,"0,95860999822617"
BJ2012_131,131,"1,19599914550781"
BJ2012_132,132,"0,89187830686569"
BJ2012_133,133,"-0,54897415637970"
BJ2012_134,134,"-0,53160208463669"
BJ2012_135,135,"0,41252416372299"
BJ2012_136,136,"-0,80329585075378"
BJ2012_137,137,"-0,40701165795326"
BJ2012_138,138,"-0,66163289546967"
BJ2012_139,139,"-0,83464497327805"
BJ2012_140,140,"0,00564083782956"
BJ2012_141,141,"-0,73882877826691"
BJ2012_142,142,"-0,45544248819351"
BJ2012_143,143,"-0,36091291904450"
BJ2012_144,144,"-0,51955217123032"
BJ2012_145,145,"0,05799739435315"
BJ2012_146,146,"-0,38519126176834"
BJ2012_147,147,"-0,42557087540627"
BJ2012_148,148,"0,04500868916512"
BJ2012_149,149,"0,08761347830296"
BJ2012_150,150,"1,32137668132782"
BJ2012_151,151,"1,20751559734344"
BJ2012_152,152,"1,10810995101929"
BJ2012_153,153,"1,45797502994537"
BJ2012_154,154,"1,22155606746674"
