,ID,LATNUM,LONGNUM
1590,MW2012_34,"-13,573084","34,126905"
1591,MW2012_35,"-13,542463","33,775777"
1592,MW2012_36,"-13,652641","34,089459"
1593,MW2012_37,"-13,610101","33,665434"
1594,MW2012_38,"-13,422633","33,652827"
1598,MW2012_41,"-13,778540","33,605298"
1600,MW2012_43,"-14,032175","34,005233"
1602,MW2012_45,"-14,317569","33,762634"
1604,MW2012_47,"-14,171308","33,943825"
1605,MW2012_48,"-13,788267","33,291960"
1607,MW2012_5,"-10,324640","34,141863"
1610,MW2012_52,"-13,918350","33,118941"
1617,MW2012_59,"-14,000816","33,731020"
1632,MW2012_72,"-15,026000","35,010677"
1633,MW2012_73,"-15,181636","34,906672"
1637,MW2012_77,"-14,992107","35,204274"
1638,MW2012_78,"-14,721337","34,762391"
1639,MW2012_79,"-14,919375","34,857543"
1651,MW2012_9,"-10,605482","34,074269"
1662,SN2012_1,"14,675431","-17,440521"
1664,SN2012_104,"15,407514","-16,598462"
1670,SN2012_114,"15,716146","-16,294719"
1671,SN2012_115,"15,631995","-16,217458"
1674,SN2012_122,"15,875520","-13,574650"
1675,SN2012_124,"15,707394","-13,289408"
1676,SN2012_126,"15,652750","-13,251539"
1677,SN2012_128,"15,218180","-13,765278"
1681,SN2012_134,"16,224612","-14,034159"
1683,SN2012_138,"16,381121","-15,153622"
1694,SN2012_162,"13,817869","-14,369643"
1701,SN2012_18,"14,826688","-17,155508"
1705,SN2012_196,"12,567658","-16,258169"
1706,SN2012_198,"12,580420","-16,289249"
1708,SN2012_200,"12,569583","-16,265922"
1714,SN2012_3,"14,710419","-17,459288"
1726,SN2012_61,"14,043511","-15,012085"
1736,SN2012_89,"12,705626","-14,677454"
1738,SN2012_93,"12,888260","-14,930338"
1740,TZ2011_10,"-6,794791","39,192662"
1741,TZ2011_100,"-2,477137","30,857671"
1757,TZ2011_126,"-7,156765","31,328884"
1759,TZ2011_128,"-6,794365","39,217660"
1761,TZ2011_13,"-1,610650","31,127350"
1762,TZ2011_132,"-5,890473","39,257053"
1765,TZ2011_136,"-6,333791","38,385437"
1768,TZ2011_141,"-5,385815","39,705405"
1770,TZ2011_143,"-9,193056","34,472123"
1773,TZ2011_148,"-9,096343","33,999734"
1778,TZ2011_154,"-8,108743","31,543548"
1781,TZ2011_158,"-6,889750","39,244005"
1782,TZ2011_16,"-6,865173","39,150138"
1784,TZ2011_162,"-1,512438","31,604483"
1786,TZ2011_165,"-6,831382","39,078200"
1788,TZ2011_171,"-4,758192","38,662972"
1791,TZ2011_178,"-9,968304","34,554456"
1796,TZ2011_186,"-6,164612","39,202734"
1799,TZ2011_190,"-6,193358","30,322174"
1802,TZ2011_195,"-7,080106","38,445883"
1806,TZ2011_2,"-8,207527","31,822278"
1810,TZ2011_206,"-5,053331","39,733202"
1816,TZ2011_216,"-6,152698","39,276597"
1822,TZ2011_223,"-5,417000","39,645353"
1830,TZ2011_236,"-9,265542","33,281916"
1832,TZ2011_238,"-2,327380","32,510555"
1833,TZ2011_239,"-6,172195","39,208744"
1834,TZ2011_24,"-6,077567","31,146596"
1835,TZ2011_243,"-7,485672","30,611384"
1837,TZ2011_245,"-2,076093","32,914140"
1840,TZ2011_250,"-5,313242","39,749530"
1842,TZ2011_253,"-9,987665","39,632568"
1843,TZ2011_256,"-6,839852","36,505029"
1846,TZ2011_259,"-6,341126","31,069176"
1848,TZ2011_261,"-6,165311","39,251293"
1852,TZ2011_27,"-4,468243","37,932079"
1855,TZ2011_273,"-6,602436","39,072755"
1856,TZ2011_274,"-6,376084","31,067515"
1862,TZ2011_283,"-8,500029","38,932096"
1864,TZ2011_285,"-1,580951","31,144553"
1865,TZ2011_286,"-6,879366","39,240351"
1873,TZ2011_299,"-9,493378","39,492325"
1877,TZ2011_305,"-7,864310","30,858137"
1883,TZ2011_316,"-6,928050","39,268243"
1886,TZ2011_320,"-5,141854","39,760137"
1888,TZ2011_324,"-4,383498","38,018929"
1889,TZ2011_325,"-6,007403","39,269679"
1890,TZ2011_327,"-7,571360","31,359759"
1891,TZ2011_328,"-10,927631","34,984833"
1892,TZ2011_330,"-5,336266","38,527725"
1893,TZ2011_332,"-5,971770","39,193144"
1894,TZ2011_335,"-5,418243","31,564900"
1898,TZ2011_339,"-3,420720","31,579616"
1899,TZ2011_341,"-6,047683","39,341676"
1900,TZ2011_343,"-6,846527","39,233782"
1903,TZ2011_350,"-5,341764","39,659636"
1904,TZ2011_351,"-3,151691","32,654570"
1906,TZ2011_354,"-10,928302","34,993070"
1907,TZ2011_356,"-4,524244","29,835542"
1908,TZ2011_358,"-2,511167","32,795708"
1910,TZ2011_36,"-2,885193","37,388654"
1913,TZ2011_365,"-7,707811","39,143728"
1914,TZ2011_366,"-4,909072","38,348029"
1915,TZ2011_368,"-1,231606","31,501428"
1919,TZ2011_380,"-7,997384","38,746398"
1921,TZ2011_382,"-1,618610","31,702136"
1925,TZ2011_387,"-2,615896","32,066329"
1935,TZ2011_402,"-4,987652","39,799746"
1937,TZ2011_404,"-7,228709","39,060507"
1947,TZ2011_429,"-9,885486","39,665176"
1950,TZ2011_433,"-5,264397","39,770247"
1957,TZ2011_441,"-3,059935","32,108598"
1960,TZ2011_446,"-6,951185","39,269336"
1962,TZ2011_448,"-6,044111","39,285997"
1968,TZ2011_458,"-5,196178","39,753660"
1971,TZ2011_467,"-11,027437","34,746713"
1973,TZ2011_469,"-6,866039","39,222036"
1974,TZ2011_47,"-10,582668","39,680635"
1980,TZ2011_477,"-10,311339","39,709574"
1981,TZ2011_478,"-5,975090","39,190322"
1983,TZ2011_482,"-5,111643","38,431403"
1986,TZ2011_487,"-6,198189","39,214073"
1987,TZ2011_490,"-9,127318","33,855624"
1995,TZ2011_507,"-6,075343","39,232845"
2000,TZ2011_515,"-6,188973","39,360235"
2001,TZ2011_517,"-6,271887","35,260490"
2003,TZ2011_520,"-6,900852","39,260538"
2004,TZ2011_521,"-10,126436","39,552083"
2008,TZ2011_527,"-10,011298","39,700081"
2014,TZ2011_54,"-6,826939","39,209943"
2020,TZ2011_548,"-6,714106","38,925886"
2021,TZ2011_549,"-6,616155","38,165436"
